"Step","no-actors 1, 100 (2024-01-17 19:14) - Best Reward","no-actors 1, 100 (2024-01-17 19:14) - Best Reward__MIN","no-actors 1, 100 (2024-01-17 19:14) - Best Reward__MAX","no-actors 1, 100 (2024-01-17 19:14) - RL_1_SAC Mean Price","no-actors 1, 100 (2024-01-17 19:14) - RL_1_SAC Mean Price__MIN","no-actors 1, 100 (2024-01-17 19:14) - RL_1_SAC Mean Price__MAX","no-actors 1, 100 (2024-01-08 11:43) - Best Reward","no-actors 1, 100 (2024-01-08 11:43) - Best Reward__MIN","no-actors 1, 100 (2024-01-08 11:43) - Best Reward__MAX","no-actors 1, 100 (2024-01-08 11:43) - RL_1_SAC Mean Price","no-actors 1, 100 (2024-01-08 11:43) - RL_1_SAC Mean Price__MIN","no-actors 1, 100 (2024-01-08 11:43) - RL_1_SAC Mean Price__MAX"
"0","5580.306188821793","5580.306188821793","5580.306188821793","4.66873289346695","4.66873289346695","4.66873289346695","5156.887410402298","5156.887410402298","5156.887410402298","4.668948400020599","4.668948400020599","4.668948400020599"
"1","5580.306188821793","5580.306188821793","5580.306188821793","3.3052449822425842","3.3052449822425842","3.3052449822425842","5156.887410402298","5156.887410402298","5156.887410402298","3.305421304702759","3.305421304702759","3.305421304702759"
"2","5580.306188821793","5580.306188821793","5580.306188821793","4.069194638729096","4.069194638729096","4.069194638729096","5156.887410402298","5156.887410402298","5156.887410402298","4.069200277328491","4.069200277328491","4.069200277328491"
"3","5580.306188821793","5580.306188821793","5580.306188821793","5.193498706817627","5.193498706817627","5.193498706817627","5156.887410402298","5156.887410402298","5156.887410402298","5.193910872936248","5.193910872936248","5.193910872936248"
"4","5580.306188821793","5580.306188821793","5580.306188821793","4.571400916576385","4.571400916576385","4.571400916576385","5156.887410402298","5156.887410402298","5156.887410402298","4.571443474292755","4.571443474292755","4.571443474292755"
"5","6897.326856088637","6897.326856088637","6897.326856088637","4.0045504689216616","4.0045504689216616","4.0045504689216616","6308.181966114044","6308.181966114044","6308.181966114044","4.004541802406311","4.004541802406311","4.004541802406311"
"6","6897.326856088637","6897.326856088637","6897.326856088637","4.6620142459869385","4.6620142459869385","4.6620142459869385","6308.181966114044","6308.181966114044","6308.181966114044","4.662008440494537","4.662008440494537","4.662008440494537"
"7","6897.326856088637","6897.326856088637","6897.326856088637","3.6055715680122375","3.6055715680122375","3.6055715680122375","6308.181966114044","6308.181966114044","6308.181966114044","3.605981135368347","3.605981135368347","3.605981135368347"
"8","6897.326856088637","6897.326856088637","6897.326856088637","5.637773418426514","5.637773418426514","5.637773418426514","6308.181966114044","6308.181966114044","6308.181966114044","5.637593102455139","5.637593102455139","5.637593102455139"
"9","6897.326856088637","6897.326856088637","6897.326856088637","4.024584722518921","4.024584722518921","4.024584722518921","6308.181966114044","6308.181966114044","6308.181966114044","4.024397242069244","4.024397242069244","4.024397242069244"
"10","6897.326856088637","6897.326856088637","6897.326856088637","5.171247971057892","5.171247971057892","5.171247971057892","6308.181966114044","6308.181966114044","6308.181966114044","5.171554863452911","5.171554863452911","5.171554863452911"
"11","6897.326856088637","6897.326856088637","6897.326856088637","9.391578042507172","9.391578042507172","9.391578042507172","6308.181966114044","6308.181966114044","6308.181966114044","9.373916578292846","9.373916578292846","9.373916578292846"
"12","6897.326856088637","6897.326856088637","6897.326856088637","9.645051765441895","9.645051765441895","9.645051765441895","6308.181966114044","6308.181966114044","6308.181966114044","9.704815340042114","9.704815340042114","9.704815340042114"
"13","6897.326856088637","6897.326856088637","6897.326856088637","9.391711568832397","9.391711568832397","9.391711568832397","6308.181966114044","6308.181966114044","6308.181966114044","9.10042861700058","9.10042861700058","9.10042861700058"
"14","6897.326856088637","6897.326856088637","6897.326856088637","7.776740455627442","7.776740455627442","7.776740455627442","6308.181966114044","6308.181966114044","6308.181966114044","5.926208055019378","5.926208055019378","5.926208055019378"
"15","6897.326856088637","6897.326856088637","6897.326856088637","5.504266166687012","5.504266166687012","5.504266166687012","6308.181966114044","6308.181966114044","6308.181966114044","6.632376337051392","6.632376337051392","6.632376337051392"
"16","6897.326856088637","6897.326856088637","6897.326856088637","5.229107129573822","5.229107129573822","5.229107129573822","6308.181966114044","6308.181966114044","6308.181966114044","5.943802559375763","5.943802559375763","5.943802559375763"
"17","7410.479338884355","7410.479338884355","7410.479338884355","4.605120241641998","4.605120241641998","4.605120241641998","6308.181966114044","6308.181966114044","6308.181966114044","5.7626546144485475","5.7626546144485475","5.7626546144485475"
"18","7410.479338884355","7410.479338884355","7410.479338884355","4.963237833976746","4.963237833976746","4.963237833976746","6308.181966114044","6308.181966114044","6308.181966114044","5.5610942363739015","5.5610942363739015","5.5610942363739015"
"19","8405.046216392517","8405.046216392517","8405.046216392517","4.1306844830513","4.1306844830513","4.1306844830513","7341.397805595399","7341.397805595399","7341.397805595399","4.8853110551834105","4.8853110551834105","4.8853110551834105"
"20","8405.046216392517","8405.046216392517","8405.046216392517","4.257968676090241","4.257968676090241","4.257968676090241","7341.397805595399","7341.397805595399","7341.397805595399","5.254681777954102","5.254681777954102","5.254681777954102"
"21","8405.046216392517","8405.046216392517","8405.046216392517","4.2949073076248165","4.2949073076248165","4.2949073076248165","7341.397805595399","7341.397805595399","7341.397805595399","4.623350024223328","4.623350024223328","4.623350024223328"
"22","9472.485616970063","9472.485616970063","9472.485616970063","3.9605788469314573","3.9605788469314573","3.9605788469314573","7431.326249885558","7431.326249885558","7431.326249885558","5.027780520915985","5.027780520915985","5.027780520915985"
"23","9472.485616970063","9472.485616970063","9472.485616970063","4.1316405773162845","4.1316405773162845","4.1316405773162845","7431.326249885558","7431.326249885558","7431.326249885558","4.726867127418518","4.726867127418518","4.726867127418518"
"24","9472.485616970063","9472.485616970063","9472.485616970063","4.08726167678833","4.08726167678833","4.08726167678833","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.677784502506256","4.677784502506256","4.677784502506256"
"25","9472.485616970063","9472.485616970063","9472.485616970063","4.109382832050324","4.109382832050324","4.109382832050324","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.701482331752777","4.701482331752777","4.701482331752777"
"26","9472.485616970063","9472.485616970063","9472.485616970063","4.110360777378082","4.110360777378082","4.110360777378082","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.732059741020203","4.732059741020203","4.732059741020203"
"27","9472.485616970063","9472.485616970063","9472.485616970063","3.9861326217651367","3.9861326217651367","3.9861326217651367","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.644650411605835","4.644650411605835","4.644650411605835"
"28","9472.485616970063","9472.485616970063","9472.485616970063","4.175520300865173","4.175520300865173","4.175520300865173","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.749588680267334","4.749588680267334","4.749588680267334"
"29","9472.485616970063","9472.485616970063","9472.485616970063","3.997257483005524","3.997257483005524","3.997257483005524","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.600442886352539","4.600442886352539","4.600442886352539"
"30","9472.485616970063","9472.485616970063","9472.485616970063","4.1611260890960695","4.1611260890960695","4.1611260890960695","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.904785752296448","4.904785752296448","4.904785752296448"
"31","9472.485616970063","9472.485616970063","9472.485616970063","4.10944972038269","4.10944972038269","4.10944972038269","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.567586922645569","4.567586922645569","4.567586922645569"
"32","9472.485616970063","9472.485616970063","9472.485616970063","3.9382145047187804","3.9382145047187804","3.9382145047187804","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.643084526062012","4.643084526062012","4.643084526062012"
"33","9472.485616970063","9472.485616970063","9472.485616970063","4.068587934970855","4.068587934970855","4.068587934970855","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.630474591255188","4.630474591255188","4.630474591255188"
"34","9472.485616970063","9472.485616970063","9472.485616970063","4.037857353687286","4.037857353687286","4.037857353687286","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.762159371376038","4.762159371376038","4.762159371376038"
"35","9472.485616970063","9472.485616970063","9472.485616970063","4.124039101600647","4.124039101600647","4.124039101600647","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.695614361763001","4.695614361763001","4.695614361763001"
"36","9472.485616970063","9472.485616970063","9472.485616970063","4.001933991909027","4.001933991909027","4.001933991909027","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.466782963275909","4.466782963275909","4.466782963275909"
"37","9472.485616970063","9472.485616970063","9472.485616970063","3.992266595363617","3.992266595363617","3.992266595363617","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.699131059646606","4.699131059646606","4.699131059646606"
"38","9472.485616970063","9472.485616970063","9472.485616970063","3.976946234703064","3.976946234703064","3.976946234703064","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.570894122123718","4.570894122123718","4.570894122123718"
"39","9472.485616970063","9472.485616970063","9472.485616970063","3.904546117782593","3.904546117782593","3.904546117782593","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.5883509635925295","4.5883509635925295","4.5883509635925295"
"40","9472.485616970063","9472.485616970063","9472.485616970063","3.950527215003967","3.950527215003967","3.950527215003967","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.683925819396973","4.683925819396973","4.683925819396973"
"41","9472.485616970063","9472.485616970063","9472.485616970063","4.018809497356415","4.018809497356415","4.018809497356415","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.692439150810242","4.692439150810242","4.692439150810242"
"42","9472.485616970063","9472.485616970063","9472.485616970063","4.018346774578094","4.018346774578094","4.018346774578094","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.528272342681885","4.528272342681885","4.528272342681885"
"43","9472.485616970063","9472.485616970063","9472.485616970063","4.056661558151245","4.056661558151245","4.056661558151245","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.655885505676269","4.655885505676269","4.655885505676269"
"44","9472.485616970063","9472.485616970063","9472.485616970063","3.881907379627228","3.881907379627228","3.881907379627228","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.654822659492493","4.654822659492493","4.654822659492493"
"45","9472.485616970063","9472.485616970063","9472.485616970063","3.959413766860962","3.959413766860962","3.959413766860962","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.461779463291168","4.461779463291168","4.461779463291168"
"46","9472.485616970063","9472.485616970063","9472.485616970063","3.943006181716919","3.943006181716919","3.943006181716919","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.64156699180603","4.64156699180603","4.64156699180603"
"47","9472.485616970063","9472.485616970063","9472.485616970063","4.022018480300903","4.022018480300903","4.022018480300903","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.50196053981781","4.50196053981781","4.50196053981781"
"48","9472.485616970063","9472.485616970063","9472.485616970063","3.9887871623039244","3.9887871623039244","3.9887871623039244","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.584097599983215","4.584097599983215","4.584097599983215"
"49","9472.485616970063","9472.485616970063","9472.485616970063","4.009694373607635","4.009694373607635","4.009694373607635","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.6199963092803955","4.6199963092803955","4.6199963092803955"
"50","9472.485616970063","9472.485616970063","9472.485616970063","4.076087617874146","4.076087617874146","4.076087617874146","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.628459453582764","4.628459453582764","4.628459453582764"
"51","9472.485616970063","9472.485616970063","9472.485616970063","4.074411928653717","4.074411928653717","4.074411928653717","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.75853464603424","4.75853464603424","4.75853464603424"
"52","9472.485616970063","9472.485616970063","9472.485616970063","4.000305998325348","4.000305998325348","4.000305998325348","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.658299779891967","4.658299779891967","4.658299779891967"
"53","9472.485616970063","9472.485616970063","9472.485616970063","3.880144190788269","3.880144190788269","3.880144190788269","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.568645668029785","4.568645668029785","4.568645668029785"
"54","9472.485616970063","9472.485616970063","9472.485616970063","4.136402797698975","4.136402797698975","4.136402797698975","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.728838539123535","4.728838539123535","4.728838539123535"
"55","9472.485616970063","9472.485616970063","9472.485616970063","4.050898027420044","4.050898027420044","4.050898027420044","7618.5540510654455","7618.5540510654455","7618.5540510654455","4.611754369735718","4.611754369735718","4.611754369735718"
