"Step","no-actors 1, half cars (2024-01-17 21:18) - Best Reward","no-actors 1, half cars (2024-01-17 21:18) - Best Reward__MIN","no-actors 1, half cars (2024-01-17 21:18) - Best Reward__MAX","no-actors 1, half cars (2024-01-17 21:18) - RL_1_SAC Mean Price","no-actors 1, half cars (2024-01-17 21:18) - RL_1_SAC Mean Price__MIN","no-actors 1, half cars (2024-01-17 21:18) - RL_1_SAC Mean Price__MAX","no-actors 1, half cars (2024-01-08 15:20) - Best Reward","no-actors 1, half cars (2024-01-08 15:20) - Best Reward__MIN","no-actors 1, half cars (2024-01-08 15:20) - Best Reward__MAX","no-actors 1, half cars (2024-01-08 15:20) - RL_1_SAC Mean Price","no-actors 1, half cars (2024-01-08 15:20) - RL_1_SAC Mean Price__MIN","no-actors 1, half cars (2024-01-08 15:20) - RL_1_SAC Mean Price__MAX"
"0","6732.482438421249","6732.482438421249","6732.482438421249","4.668185222148895","4.668185222148895","4.668185222148895","6007.241337823868","6007.241337823868","6007.241337823868","4.668232166767121","4.668232166767121","4.668232166767121"
"1","7852.28714981079","7852.28714981079","7852.28714981079","3.307130253314972","3.307130253314972","3.307130253314972","7104.934584283828","7104.934584283828","7104.934584283828","3.307785618305206","3.307785618305206","3.307785618305206"
"2","7852.28714981079","7852.28714981079","7852.28714981079","4.069438683986664","4.069438683986664","4.069438683986664","7104.934584283828","7104.934584283828","7104.934584283828","4.069382965564728","4.069382965564728","4.069382965564728"
"3","7852.28714981079","7852.28714981079","7852.28714981079","5.191054379940033","5.191054379940033","5.191054379940033","7104.934584283828","7104.934584283828","7104.934584283828","5.191650986671448","5.191650986671448","5.191650986671448"
"4","7852.28714981079","7852.28714981079","7852.28714981079","4.571589207649231","4.571589207649231","4.571589207649231","7104.934584283828","7104.934584283828","7104.934584283828","4.571576321125031","4.571576321125031","4.571576321125031"
"5","9280.56256146431","9280.56256146431","9280.56256146431","4.006033301353455","4.006033301353455","4.006033301353455","9116.004994297024","9116.004994297024","9116.004994297024","4.005587685108185","4.005587685108185","4.005587685108185"
"6","9280.56256146431","9280.56256146431","9280.56256146431","4.6613206505775455","4.6613206505775455","4.6613206505775455","9116.004994297024","9116.004994297024","9116.004994297024","4.661983585357666","4.661983585357666","4.661983585357666"
"7","9280.56256146431","9280.56256146431","9280.56256146431","3.6063676953315733","3.6063676953315733","3.6063676953315733","9116.004994297024","9116.004994297024","9116.004994297024","3.6062488317489625","3.6062488317489625","3.6062488317489625"
"8","9280.56256146431","9280.56256146431","9280.56256146431","5.635952663421631","5.635952663421631","5.635952663421631","9116.004994297024","9116.004994297024","9116.004994297024","5.635471320152282","5.635471320152282","5.635471320152282"
"9","9280.56256146431","9280.56256146431","9280.56256146431","4.025273597240448","4.025273597240448","4.025273597240448","9116.004994297024","9116.004994297024","9116.004994297024","4.025032365322113","4.025032365322113","4.025032365322113"
"10","9280.56256146431","9280.56256146431","9280.56256146431","5.168587589263916","5.168587589263916","5.168587589263916","9116.004994297024","9116.004994297024","9116.004994297024","5.169397628307342","5.169397628307342","5.169397628307342"
"11","9280.56256146431","9280.56256146431","9280.56256146431","8.900666546821594","8.900666546821594","8.900666546821594","9116.004994297024","9116.004994297024","9116.004994297024","9.348042953014374","9.348042953014374","9.348042953014374"
"12","9280.56256146431","9280.56256146431","9280.56256146431","9.839997577667237","9.839997577667237","9.839997577667237","9116.004994297024","9116.004994297024","9116.004994297024","9.629831981658935","9.629831981658935","9.629831981658935"
"13","9280.56256146431","9280.56256146431","9280.56256146431","9.716283988952636","9.716283988952636","9.716283988952636","9116.004994297024","9116.004994297024","9116.004994297024","9.744251441955566","9.744251441955566","9.744251441955566"
"14","9280.56256146431","9280.56256146431","9280.56256146431","7.641144585609436","7.641144585609436","7.641144585609436","9116.004994297024","9116.004994297024","9116.004994297024","7.4797154545783995","7.4797154545783995","7.4797154545783995"
"15","9280.56256146431","9280.56256146431","9280.56256146431","3.3516220331192015","3.3516220331192015","3.3516220331192015","9116.004994297024","9116.004994297024","9116.004994297024","5.25343644618988","5.25343644618988","5.25343644618988"
"16","10423.811905908582","10423.811905908582","10423.811905908582","4.230951964855194","4.230951964855194","4.230951964855194","11511.257472801208","11511.257472801208","11511.257472801208","4.097666501998901","4.097666501998901","4.097666501998901"
"17","11279.613395357133","11279.613395357133","11279.613395357133","3.7037734627723693","3.7037734627723693","3.7037734627723693","11511.257472801208","11511.257472801208","11511.257472801208","3.6585127115249634","3.6585127115249634","3.6585127115249634"
"18","11559.18068957329","11559.18068957329","11559.18068957329","3.598822331428528","3.598822331428528","3.598822331428528","11902.324906301497","11902.324906301497","11902.324906301497","4.160170137882233","4.160170137882233","4.160170137882233"
"19","11559.18068957329","11559.18068957329","11559.18068957329","3.808906614780426","3.808906614780426","3.808906614780426","11902.324906301497","11902.324906301497","11902.324906301497","3.5538437128067017","3.5538437128067017","3.5538437128067017"
"20","11559.18068957329","11559.18068957329","11559.18068957329","3.8818186283111573","3.8818186283111573","3.8818186283111573","11902.324906301497","11902.324906301497","11902.324906301497","3.8706642508506777","3.8706642508506777","3.8706642508506777"
"21","11559.18068957329","11559.18068957329","11559.18068957329","3.823040187358856","3.823040187358856","3.823040187358856","11902.324906301497","11902.324906301497","11902.324906301497","3.815779411792755","3.815779411792755","3.815779411792755"
"22","11559.18068957329","11559.18068957329","11559.18068957329","3.8752049088478087","3.8752049088478087","3.8752049088478087","11902.324906301497","11902.324906301497","11902.324906301497","3.789588141441345","3.789588141441345","3.789588141441345"
"23","11559.18068957329","11559.18068957329","11559.18068957329","3.9796202898025514","3.9796202898025514","3.9796202898025514","11902.324906301497","11902.324906301497","11902.324906301497","3.896160161495209","3.896160161495209","3.896160161495209"
"24","11559.18068957329","11559.18068957329","11559.18068957329","3.9849610209465025","3.9849610209465025","3.9849610209465025","11902.324906301497","11902.324906301497","11902.324906301497","3.785999298095703","3.785999298095703","3.785999298095703"
"25","11559.18068957329","11559.18068957329","11559.18068957329","4.02401192188263","4.02401192188263","4.02401192188263","11902.324906301497","11902.324906301497","11902.324906301497","3.8929304480552673","3.8929304480552673","3.8929304480552673"
"26","11559.18068957329","11559.18068957329","11559.18068957329","4.00689457654953","4.00689457654953","4.00689457654953","11902.324906301497","11902.324906301497","11902.324906301497","3.6893697023391723","3.6893697023391723","3.6893697023391723"
"27","11559.18068957329","11559.18068957329","11559.18068957329","3.847994804382324","3.847994804382324","3.847994804382324","11902.324906301497","11902.324906301497","11902.324906301497","3.613070511817932","3.613070511817932","3.613070511817932"
"28","11559.18068957329","11559.18068957329","11559.18068957329","3.831547808647156","3.831547808647156","3.831547808647156","11902.324906301497","11902.324906301497","11902.324906301497","3.7265055656433104","3.7265055656433104","3.7265055656433104"
"29","11559.18068957329","11559.18068957329","11559.18068957329","3.6293291807174684","3.6293291807174684","3.6293291807174684","11902.324906301497","11902.324906301497","11902.324906301497","3.677422654628754","3.677422654628754","3.677422654628754"
