"Step","no-actors 1 (2024-01-18 03:13) - Best Reward","no-actors 1 (2024-01-18 03:13) - Best Reward__MIN","no-actors 1 (2024-01-18 03:13) - Best Reward__MAX","no-actors 1 (2024-01-18 03:13) - RL_1_SAC Mean Price","no-actors 1 (2024-01-18 03:13) - RL_1_SAC Mean Price__MIN","no-actors 1 (2024-01-18 03:13) - RL_1_SAC Mean Price__MAX","no-actors 1 (2024-01-09 03:02) - Best Reward","no-actors 1 (2024-01-09 03:02) - Best Reward__MIN","no-actors 1 (2024-01-09 03:02) - Best Reward__MAX","no-actors 1 (2024-01-09 03:02) - RL_1_SAC Mean Price","no-actors 1 (2024-01-09 03:02) - RL_1_SAC Mean Price__MIN","no-actors 1 (2024-01-09 03:02) - RL_1_SAC Mean Price__MAX"
"0","7245.033876180649","7245.033876180649","7245.033876180649","4.66434017419815","4.66434017419815","4.66434017419815","7040.005407285692","7040.005407285692","7040.005407285692","4.66436812877655","4.66436812877655","4.66436812877655"
"1","8472.596071195601","8472.596071195601","8472.596071195601","3.30906286239624","3.30906286239624","3.30906286239624","8444.096901464462","8444.096901464462","8444.096901464462","3.309082067012787","3.309082067012787","3.309082067012787"
"2","8472.596071195601","8472.596071195601","8472.596071195601","4.067154991626739","4.067154991626739","4.067154991626739","8444.096901464462","8444.096901464462","8444.096901464462","4.067086017131805","4.067086017131805","4.067086017131805"
"3","8472.596071195601","8472.596071195601","8472.596071195601","5.182915163040161","5.182915163040161","5.182915163040161","8444.096901464462","8444.096901464462","8444.096901464462","5.183252823352814","5.183252823352814","5.183252823352814"
"4","8472.596071195601","8472.596071195601","8472.596071195601","4.56819406747818","4.56819406747818","4.56819406747818","8444.096901464462","8444.096901464462","8444.096901464462","4.568364405632019","4.568364405632019","4.568364405632019"
"5","10733.081532430646","10733.081532430646","10733.081532430646","4.006901979446411","4.006901979446411","4.006901979446411","10523.206300497057","10523.206300497057","10523.206300497057","4.006493544578552","4.006493544578552","4.006493544578552"
"6","10733.081532430646","10733.081532430646","10733.081532430646","4.654332530498505","4.654332530498505","4.654332530498505","10523.206300497057","10523.206300497057","10523.206300497057","4.654733490943909","4.654733490943909","4.654733490943909"
"7","10733.081532430646","10733.081532430646","10733.081532430646","3.604636716842651","3.604636716842651","3.604636716842651","10523.206300497057","10523.206300497057","10523.206300497057","3.6049105763435363","3.6049105763435363","3.6049105763435363"
"8","10733.081532430646","10733.081532430646","10733.081532430646","5.624876630306244","5.624876630306244","5.624876630306244","10523.206300497057","10523.206300497057","10523.206300497057","5.624358797073365","5.624358797073365","5.624358797073365"
"9","10733.081532430646","10733.081532430646","10733.081532430646","4.028368723392487","4.028368723392487","4.028368723392487","10523.206300497057","10523.206300497057","10523.206300497057","4.028689241409301","4.028689241409301","4.028689241409301"
