"Step","no-actors 1, 300 (2024-01-03 20:59) - Best Reward","no-actors 1, 300 (2024-01-03 20:59) - Best Reward__MIN","no-actors 1, 300 (2024-01-03 20:59) - Best Reward__MAX","no-actors 1, 200 (2024-01-03 18:53) - Best Reward","no-actors 1, 200 (2024-01-03 18:53) - Best Reward__MIN","no-actors 1, 200 (2024-01-03 18:53) - Best Reward__MAX","no-actors 1, 100 (2024-01-03 16:49) - Best Reward","no-actors 1, 100 (2024-01-03 16:49) - Best Reward__MIN","no-actors 1, 100 (2024-01-03 16:49) - Best Reward__MAX"
"0","7160.017796754838","7160.017796754838","7160.017796754838","6185.512205266952","6185.512205266952","6185.512205266952","5156.887410402298","5156.887410402298","5156.887410402298"
"1","8171.990267562864","8171.990267562864","8171.990267562864","7364.945311832427","7364.945311832427","7364.945311832427","5156.887410402298","5156.887410402298","5156.887410402298"
"2","8171.990267562864","8171.990267562864","8171.990267562864","7364.945311832427","7364.945311832427","7364.945311832427","5156.887410402298","5156.887410402298","5156.887410402298"
"3","8171.990267562864","8171.990267562864","8171.990267562864","7364.945311832427","7364.945311832427","7364.945311832427","5156.887410402298","5156.887410402298","5156.887410402298"
"4","8171.990267562864","8171.990267562864","8171.990267562864","7364.945311832427","7364.945311832427","7364.945311832427","5156.887410402298","5156.887410402298","5156.887410402298"
"5","10617.392507696148","10617.392507696148","10617.392507696148","9615.001120710373","9615.001120710373","9615.001120710373","6308.181966114044","6308.181966114044","6308.181966114044"
"6","10617.392507696148","10617.392507696148","10617.392507696148","9615.001120710373","9615.001120710373","9615.001120710373","6308.181966114044","6308.181966114044","6308.181966114044"
"7","10617.392507696148","10617.392507696148","10617.392507696148","9615.001120710373","9615.001120710373","9615.001120710373","6308.181966114044","6308.181966114044","6308.181966114044"
"8","10617.392507696148","10617.392507696148","10617.392507696148","9615.001120710373","9615.001120710373","9615.001120710373","6308.181966114044","6308.181966114044","6308.181966114044"
"9","10617.392507696148","10617.392507696148","10617.392507696148","9615.001120710373","9615.001120710373","9615.001120710373","6308.181966114044","6308.181966114044","6308.181966114044"
"10","10617.392507696148","10617.392507696148","10617.392507696148","9615.001120710373","9615.001120710373","9615.001120710373","6308.181966114044","6308.181966114044","6308.181966114044"
"11","10617.392507696148","10617.392507696148","10617.392507696148","9615.001120710373","9615.001120710373","9615.001120710373","6308.181966114044","6308.181966114044","6308.181966114044"
"12","10617.392507696148","10617.392507696148","10617.392507696148","9615.001120710373","9615.001120710373","9615.001120710373","6308.181966114044","6308.181966114044","6308.181966114044"
"13","10617.392507696148","10617.392507696148","10617.392507696148","9615.001120710373","9615.001120710373","9615.001120710373","6308.181966114044","6308.181966114044","6308.181966114044"
"14","10617.392507696148","10617.392507696148","10617.392507696148","9615.001120710373","9615.001120710373","9615.001120710373","6308.181966114044","6308.181966114044","6308.181966114044"
"15","10617.392507696148","10617.392507696148","10617.392507696148","9615.001120710373","9615.001120710373","9615.001120710373","6308.181966114044","6308.181966114044","6308.181966114044"
"16","12106.330147600174","12106.330147600174","12106.330147600174","9615.001120710373","9615.001120710373","9615.001120710373","6308.181966114044","6308.181966114044","6308.181966114044"
"17","13502.096716976164","13502.096716976164","13502.096716976164","10110.616387796403","10110.616387796403","10110.616387796403","6324.873077917098","6324.873077917098","6324.873077917098"
"18","14549.653690338135","14549.653690338135","14549.653690338135","11428.754846715925","11428.754846715925","11428.754846715925","7133.310639715194","7133.310639715194","7133.310639715194"
"19","14549.653690338135","14549.653690338135","14549.653690338135","12607.819191217422","12607.819191217422","12607.819191217422","7268.252057123185","7268.252057123185","7268.252057123185"
"20","14549.653690338135","14549.653690338135","14549.653690338135","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"21","14549.653690338135","14549.653690338135","14549.653690338135","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"22","15183.3892285347","15183.3892285347","15183.3892285347","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"23","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"24","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"25","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"26","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"27","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"28","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"29","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"30","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"31","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"32","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"33","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"34","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"35","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"36","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"37","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"38","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"39","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"40","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"41","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"42","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"43","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
