"Step","no-actors 1, 300 (2024-01-03 20:59) - RL_1_SAC Mean Price","no-actors 1, 300 (2024-01-03 20:59) - RL_1_SAC Mean Price__MIN","no-actors 1, 300 (2024-01-03 20:59) - RL_1_SAC Mean Price__MAX","no-actors 1, 200 (2024-01-03 18:53) - RL_1_SAC Mean Price","no-actors 1, 200 (2024-01-03 18:53) - RL_1_SAC Mean Price__MIN","no-actors 1, 200 (2024-01-03 18:53) - RL_1_SAC Mean Price__MAX","no-actors 1, 100 (2024-01-03 16:49) - RL_1_SAC Mean Price","no-actors 1, 100 (2024-01-03 16:49) - RL_1_SAC Mean Price__MIN","no-actors 1, 100 (2024-01-03 16:49) - RL_1_SAC Mean Price__MAX","no-actors 1, half cars (2024-01-03 07:36) - RL_1_SAC Mean Price","no-actors 1, half cars (2024-01-03 07:36) - RL_1_SAC Mean Price__MIN","no-actors 1, half cars (2024-01-03 07:36) - RL_1_SAC Mean Price__MAX","no-actors 1 (2024-01-03 05:46) - RL_1_SAC Mean Price","no-actors 1 (2024-01-03 05:46) - RL_1_SAC Mean Price__MIN","no-actors 1 (2024-01-03 05:46) - RL_1_SAC Mean Price__MAX"
"0","4.666520416736603","4.666520416736603","4.666520416736603","4.668113565444946","4.668113565444946","4.668113565444946","4.668948400020599","4.668948400020599","4.668948400020599","4.668232166767121","4.668232166767121","4.668232166767121","4.66436812877655","4.66436812877655","4.66436812877655"
"1","3.3091001868247987","3.3091001868247987","3.3091001868247987","3.3082913398742675","3.3082913398742675","3.3082913398742675","3.305421304702759","3.305421304702759","3.305421304702759","3.307785618305206","3.307785618305206","3.307785618305206","3.309082067012787","3.309082067012787","3.309082067012787"
"2","4.068444275856018","4.068444275856018","4.068444275856018","4.069120931625366","4.069120931625366","4.069120931625366","4.069166755676269","4.069166755676269","4.069166755676269","4.069382965564728","4.069382965564728","4.069382965564728","4.067086017131805","4.067086017131805","4.067086017131805"
"3","5.1874703645706175","5.1874703645706175","5.1874703645706175","5.190798282623291","5.190798282623291","5.190798282623291","5.193910872936248","5.193910872936248","5.193910872936248","5.191650986671448","5.191650986671448","5.191650986671448","5.183252823352814","5.183252823352814","5.183252823352814"
"4","4.570290994644165","4.570290994644165","4.570290994644165","4.571601665019989","4.571601665019989","4.571601665019989","4.5714311003685","4.5714311003685","4.5714311003685","4.571576321125031","4.571576321125031","4.571576321125031","4.568364405632019","4.568364405632019","4.568364405632019"
"5","4.006586909294128","4.006586909294128","4.006586909294128","4.005978882312775","4.005978882312775","4.005978882312775","4.004541802406311","4.004541802406311","4.004541802406311","4.005587685108185","4.005587685108185","4.005587685108185","4.006493544578552","4.006493544578552","4.006493544578552"
"6","4.657759118080139","4.657759118080139","4.657759118080139","4.661759257316589","4.661759257316589","4.661759257316589","4.662008440494537","4.662008440494537","4.662008440494537","4.661983585357666","4.661983585357666","4.661983585357666","4.654733490943909","4.654733490943909","4.654733490943909"
"7","3.605334222316742","3.605334222316742","3.605334222316742","3.606325960159302","3.606325960159302","3.606325960159302","3.605981135368347","3.605981135368347","3.605981135368347","3.6062488317489625","3.6062488317489625","3.6062488317489625","3.6049105763435363","3.6049105763435363","3.6049105763435363"
"8","5.629884839057922","5.629884839057922","5.629884839057922","5.635085916519165","5.635085916519165","5.635085916519165","5.637593102455139","5.637593102455139","5.637593102455139","5.635471320152282","5.635471320152282","5.635471320152282","5.624358797073365","5.624358797073365","5.624358797073365"
"9","4.027096676826477","4.027096676826477","4.027096676826477","4.025185906887055","4.025185906887055","4.025185906887055","4.024397242069244","4.024397242069244","4.024397242069244","4.025032365322113","4.025032365322113","4.025032365322113","4.028689241409301","4.028689241409301","4.028689241409301"
"10","5.16386227607727","5.16386227607727","5.16386227607727","5.168457460403443","5.168457460403443","5.168457460403443","5.171554863452911","5.171554863452911","5.171554863452911","5.169397628307342","5.169397628307342","5.169397628307342","5.1604128241539","5.1604128241539","5.1604128241539"
